Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Canada,CAN,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,99.084,99.187,99.398,100.086,99.918,100.714,100.791,100.954,101.023,101.275,101.165,99.866,98.829,98.747,98.871,98.929,99.015,99.177,99.275,100.018,99.433,99.219,98.992,99.009,99.356,99.369,,99.629,100.927,101.043,,,,,98.397,98.541,98.552,98.595,98.759,98.918,,,
East Asia and the Pacific (IFC classification),CEA,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe and Central Asia (IFC classification),CEU,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,92.878,93.739,94.133,94.246,94.352,94.516,94.532,94.721,94.889,95.372,95.752,96.334,96.542,96.98,97.23,95.549,96.093,96.366,96.805,,95.616,96.082,96.722,97.473,97.165,96.978,96.453,96.686,96.731,96.982,97.25,97.575,98.202,98.377,,
Channel Islands,CHI,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,101.666,100.686,100.454,100.976,101.385,101.063,101.955,101.222,100.984,101.232,100.967,101.591,99.425,100.008,99.745,100.096,99.899,,,100.633,100.981,99.618,99.98,100.892,,,,,99.962,99.95,99.584,,99.471,99.26,98.197,98.267,98.623,98.628,98.526,98.823,100.009,99.855,,
China,CHN,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,83.996,84.721,85.204,83.789,82.96,81.047,79.407,78.871,79.107,79.506,81.426,82.975,83.415,84.203,84.716,85.934,87.424,88.311,90.587,92.174,93.675,94.584,,,,97.946,,98.025,,,100.167,100.441,100.91,101.495,100.004,100.356,,
Cote d'Ivoire,CIV,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,53.549,54.358,55.052,55.496,,,,,,,62.259,,63.533,64.502,,,,,,,,,,,,,,,69.292,69.656,71.064,69.085,,,,,,,,,,,
Latin America and the Caribbean (IFC classification),CLA,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East and North Africa (IFC classification),CME,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,71.015,73.046,73.799,74.89,75.151,76.254,77.03,77.386,78.421,78.929,78.895,79.39,79.326,79.659,79.746,80.353,80.971,81.375,81.683,82.13,82.807,87.108,,,84.667,,85.366,80.562,82.578,,85.295,80.002,84.756,84.06,82.607,82.774,83.771,84.243,85.62,85.641,86.155,86.928,
"Congo, Rep.",COG,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,73.886,75.95,77.419,76.977,78.429,79.353,80.25,82.527,83.151,83.819,85.961,86.165,,86.673,88.897,89.663,87.525,91.12,89.793,88.697,,88.76,,,,87.883,,,,85.474,,88.554,86.03,91.031,,,,,,,,100.366,
Colombia,COL,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,102.803,103.202,103.646,103.943,104.614,104.316,104.06,103.814,104.004,103.823,103.303,103.526,103.094,106.585,101.784,102.973,103.111,101.908,101.98,102.035,,107.538,110.419,107.157,,105.223,101.637,,102.724,104.257,103.708,,103.587,,103.783,103.406,104.168,104.538,104.269,104.535,103.743,102.595,102.586,
Comoros,COM,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,45.895,,49.91,,,,,,,,67.955,,,,,72.864,76.212,,,,,,,,,,,,83.837,84.187,,82.306,82.135,84.277,,,,,,,,92.573,
Cabo Verde,CPV,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.633,99.277,99.707,99.438,,,,97.32,,,,,,,99.476,98.993,99.97,100.42,101.149,103.772,104.67,101.5,104.037,104.503,103.94,103.779,
Costa Rica,CRI,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,100.035,100.354,100.941,101.464,101.021,101.714,102.424,103.204,,103.82,104.094,103.194,103.052,102.305,101.109,101.024,100.318,99.988,99.885,99.604,100.238,100.833,100.927,101.523,101.67,101.999,102.517,102.496,102.185,101.897,101.396,102.232,101.312,,101.446,101.377,101.786,101.449,101.844,101.936,101.829,101.884,,
South Asia (IFC classification),CSA,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caribbean small states,CSS,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,99.921,100.154,100.653,100.783,100.558,102.038,103.162,101.914,101.993,102.059,102.992,103.092,102.455,102.398,102.243,102.281,102.738,101.176,101.594,102.111,101.979,101.309,100.572,100.05,100.49,100.714,101.493,102.363,101.992,101.542,101.279,100.702,101.601,101.126,100.692,100.876,101.105,101.147,101.036,100.137,100.895,101.089,,
Cuba,CUB,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,98.657,97.893,97.438,96.998,,,98.519,99.381,98.891,99.315,99.64,100.477,99.462,99.307,100.197,100.299,101.377,103.332,104.754,106.132,107.255,105.834,104.66,104.866,100.301,102.444,,100.241,99.549,99.981,97.534,97.18,98.714,98.945,99.336,98.591,98.513,98.548,98.353,98.486,99.52,
Curacao,CUW,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,120.676,110.508,111.582,112.567,110.678,107.091,,,106.573,98.382,,,,,,,,,,,,,,,,,,91.619,,,,,,,,,,,,,,
Cyprus,CYP,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,96.158,96.804,97.432,97.983,96.344,97.466,97.904,99.003,99.889,101.185,101.073,102.25,102.552,102.097,101.934,101.417,101.756,101.157,100.88,101.098,101.182,101.297,100.918,100.581,100.364,100.73,101.171,,101.296,101.198,100.584,101.154,101.033,101.149,100.908,100.742,100.612,100.065,100.186,100.617,100.435,,
Czech Republic,CZE,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,103.406,103.428,103.419,103.395,103.356,103.35,103.296,103.284,103.344,,,104.671,104.56,102.672,102.532,102.439,109.94,110.192,96.307,93.984,97.955,107.737,104.746,100.624,101.71,101.731,101.684,102.389,101.935,100.75,101.449,101.218,101.05,100.308,100.45,100.587,100.458,100.474,100.589,100.283,100.079,,
Germany,DEU,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.597,97.239,97.627,97.742,97.893,98.17,98.106,98.371,98.73,98.827,98.654,98.435,98.507,98.551,98.36,98.487,98.234,96.425,96.497,96.359,,
Djibouti,DJI,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,42.142,,49.44,52.67,54.415,51.885,,,,,,71.472,72.218,71.827,71.02,70.52,71.462,72.33,72.497,,,71.474,77.685,76.669,75.544,74.679,73.8,,71.787,71.411,71.142,72.012,,75.841,76.225,76.449,80.089,80.663,82.409,,85.932,83.824,
Dominica,DMA,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,107.278,112.742,112.512,109.283,114.147,112.491,113.074,,,,,,,107.085,106.485,,,101.849,,,,,,,,,112.783,105.666,104.259,104.902,105.679,103.692,103.508,102.437,101.99,100.315,103.591,102.972,102.636,,
Denmark,DNK,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,99.051,99.048,98.771,99.609,99.86,99.469,99.515,99.779,100.06,100.24,100.562,100.609,101.382,100.819,100.89,101.353,101.474,101.717,101.323,,102.323,102.897,102.378,102.703,102.637,,102.423,101.871,101.796,101.698,101.82,101.262,100.596,,,
Dominican Republic,DOM,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.681,105.006,104.209,,107.194,,102.644,103.612,,103.556,102.917,96.499,97.285,98.966,,
Algeria,DZA,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,59.858,62.315,63.99,64.71,65.745,66.672,68.062,69.091,70.762,71.974,72.946,73.849,,75.711,76.787,78.31,79.004,79.753,80.834,81.677,82.918,84.237,85.406,86.973,88.276,89.428,91.763,,94.798,96.298,97.251,97.738,98.706,99.217,99.581,99.837,99.967,98.572,97.95,99.437,99.542,,
East Asia & Pacific (developing only),EAP,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,82.631,85.283,85.835,86.058,85.142,84.642,83.306,82.504,82.821,83.189,83.61,84.897,86.053,86.513,87.361,87.839,88.853,90.076,90.498,92.213,93.167,94.136,94.91,96.01,96.862,97.616,98.349,98.539,98.971,99.801,100.412,101.026,101.322,101.811,102.227,101.956,102.288,,
East Asia & Pacific (all income levels),EAS,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,81.332,,,79.301,78.96,84.279,86.605,87.071,87.283,86.514,86.16,85.035,84.381,84.708,85.078,85.441,86.601,87.642,88.002,88.775,89.223,90.109,91.185,91.563,93.063,93.929,94.791,95.483,96.453,97.185,97.869,98.531,98.69,99.082,99.82,100.394,100.948,101.219,101.672,102.047,101.796,102.098,,
Europe & Central Asia (developing only),ECA,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,93.553,93.393,93.282,93.44,93.597,93.723,93.736,93.407,93.125,93.12,92.875,93.083,93.514,93.758,93.863,93.988,94.021,94.114,94.264,94.349,94.493,94.704,94.734,95.103,95.476,95.472,95.56,95.589,94.965,94.381,94.562,93.84,93.787,93.854,94.386,94.922,95.67,96.039,96.624,97.285,97.074,96.988,,
Europe & Central Asia (all income levels),ECS,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,97.333,97.261,97.248,97.677,97.287,97.783,98.161,97.85,97.899,97.87,98.02,98.467,98.357,98.679,98.609,98.668,98.753,98.819,98.73,98.62,98.677,98.873,98.998,98.905,98.728,98.62,98.688,98.614,98.396,98.198,98.213,97.977,97.795,97.896,97.934,97.983,98.183,98.219,98.327,98.453,98.334,98.318,,
Ecuador,ECU,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,94.228,94.289,94.535,95.503,96.26,96.046,96.336,96.404,98.19,97.078,97.921,,99.726,100.31,99.645,100.014,100.104,100.324,,,,,99.574,,,100.709,,100.918,100.641,100.064,100.514,99.997,100.31,99.76,99.988,100.092,100.177,,,100.499,100.447,100.606,
"Egypt, Arab Rep.",EGY,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,61.323,61.378,61.44,61.765,61.196,62.373,63.297,63.954,65.215,65.811,67.441,68.796,70.364,72.176,73.963,75.657,77.087,76.184,79.634,81.21,81.776,84.902,85.526,84.274,87.692,80.368,86.863,,91.459,92.418,93.286,,94.219,94.92,,,,,96.6,96.075,,,
Euro area,EMU,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,96.843,96.913,97.096,98.1,96.978,98.128,99.017,98.52,98.928,98.879,99.481,100.451,99.781,100.499,100.38,100.429,100.637,100.702,100.39,100.482,100.582,100.821,100.917,100.881,100.152,99.999,100.204,100.012,99.87,99.939,99.906,100.123,99.791,100.012,99.672,99.577,99.503,99.42,99.261,98.794,98.727,98.716,,
Eritrea,ERI,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.279,78.974,78.906,80.091,80.164,,79.432,79.124,79.685,76.033,76.396,72.181,73.196,73.496,79.363,78.842,78.98,81.675,82.078,82.406,
Spain,ESP,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,92.632,93.443,94.858,94.736,97.857,98.3,98.882,99.075,97.246,101.761,101.983,99.723,103.183,101.747,101.971,103.772,104.527,103.755,103.611,102.843,103.736,104.403,104.689,104.825,104.922,105.275,102.792,103.121,102.953,102.826,102.586,102.92,102.423,102.876,102.736,102.641,102.825,102.562,101.903,100.834,100.322,,
Estonia,EST,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.554,102.354,105.249,104.587,103.701,,100.561,100.099,100.001,99.155,99.255,100.166,100.027,99.87,100.741,101.138,101.305,100.766,99.74,,,
Ethiopia,ETH,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,43.451,44.195,,45.182,,,,,,,,,,60.601,,,,,,,69.451,75.893,74.472,67.509,63.589,60.503,,,62.036,65.4,68.389,69.486,69.776,73.348,78.145,81.321,83.56,86.225,89.191,90.109,91.195,92.411,
European Union,EUU,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,97.604,97.654,97.81,98.582,97.865,98.703,99.349,99.085,99.359,99.36,99.8,100.518,100.126,100.565,100.414,100.472,100.638,100.779,100.617,100.427,100.487,100.857,101.089,100.657,100.206,100.167,100.265,100.106,100.145,100.192,100.139,100.265,100.029,100.226,100.005,99.831,99.777,99.668,99.526,99.22,99.069,99.058,,
Finland,FIN,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,101.671,102.568,102.874,,105.017,104.906,105.164,105.398,105.84,105.69,106.657,106.441,108.491,108.909,108.491,108.561,108.317,107.671,108.695,109.385,110.59,109.148,108.591,107.771,109.201,107.373,105.168,104.744,104.821,105.429,105.633,105.242,102.001,101.993,102.058,102.193,102.204,102.34,102.256,102.142,,
Fiji,FJI,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,92.951,,96.288,95.372,98.118,99.255,100.117,100.138,100.68,,101.37,101.273,,101.315,100.171,100.124,100.41,100.665,,,,98.38,99.824,,,,,,102.6,104.31,103.111,102.783,103.849,103.074,102.28,,103.911,104.431,103.106,103.682,,103.999,,
